,POI,eng_name,link,num_reviews,poi_is_english
95,马来传统文化馆  ,Malay Heritage Centre,//place.qyer.com/poi/V2AJZ1FhBzVTZA/,22人点评,
96,英比奥山顶景区  ,Imbiah Lookout,//place.qyer.com/poi/V2MJYFFuBz9TYQ/,20人点评,
97,肯特岗公园  ,Kent Ridge Park,//place.qyer.com/poi/V2EJYFFjBzFTZA/,20人点评,
98,民防与消防历史博物廊  ,Civil Defence Heritage Gallery,//place.qyer.com/poi/V2EJa1FmBzZTbA/,17人点评,
99,圣淘沙天际线斜坡滑车  ,Skyline Sentosa Luge,//place.qyer.com/poi/V2UJYlFgBzVTZlI2Cmk/,7人点评,
100,旧禧街警察局  ,Old Hill Street Police Station,//place.qyer.com/poi/V2UJYVFnBzFTYVI2Cm4/,2人点评,
101,阿都卡夫回教堂  ,Masjid Abdul Gafoor,//place.qyer.com/poi/V2UJY1FkBz9TbFI8/,11人点评,
102,新加坡特丽爱3D美术馆  ,Trick Eye Museum,//place.qyer.com/poi/V2UJYVFkBzRTZVI9/,11人点评,
103,亚洲大陆最南端  ,,//place.qyer.com/poi/V2UJYVFnBzFTYVI4CmQ/,5人点评,
104,拉柏多自然保护区  ,Labrador Nature Reserve,//place.qyer.com/poi/V2AJZVFgBzVTZQ/,12人点评,
105,荷兰村  ,,//place.qyer.com/poi/V2UJYVFnBzFTYlI8Cms/,2人点评,
106,大巴窑  ,Toa Payoh,//place.qyer.com/poi/V2UJYlFgBzdTZFI9Cm0/,2人点评,
107,新加坡丹戎巴葛火车站  ,Tanjong Pagar Railway Station,//place.qyer.com/poi/V2YJY1FnBzVTZVI_/,8人点评,
108,National Library of Singapore  ,,//place.qyer.com/poi/V2YJZVFuBzZTYlI9/,9人点评,1
109,新加坡城市画廊  ,Singapore City Gallery,//place.qyer.com/poi/V2UJYVFnBz9TbVI8/,10人点评,
110,罗拔申码头  ,Robertson Quay,//place.qyer.com/poi/V2AJalFmBzdTZA/,14人点评,
111,樟宜海滨公园  ,Changi Beach Park,//place.qyer.com/poi/V2UJYlFvBzFTY1I6/,9人点评,
112,孙中山南洋纪念馆  ,Sun Yat Sen Nanyang Memorial Hall,//place.qyer.com/poi/V2EJZlFuBzNTZA/,14人点评,
113,东海岸快速公路  ,,//place.qyer.com/poi/V2UJZVFjBzdTZFI8/,11人点评,
114,陈东龄故居  ,House of Tan Teng Niah,//place.qyer.com/poi/V2UJYVFmBzBTbFI9/,8人点评,
115,坤成路  ,Koon Seng Road,//place.qyer.com/poi/V2UJYVFmBzBTY1I7/,10人点评,
116,达士岭组屋  ,The Pinnacle Duxton Skybridge,//place.qyer.com/poi/V2UJZ1FiBzBTYFI4CmQ/,3人点评,
117,麦里芝自然小径  ,MacRitchie Nature Trail,//place.qyer.com/poi/V2YJZVFuBzZTZ1I4/,4人点评,
118,新加坡杜莎夫人蜡像馆  ,Madame Tussauds Singapore,//place.qyer.com/poi/V2YJY1FlBzJTbFI_/,9人点评,
119,圣母圣诞堂  ,Church of the Nativity of the Blessed Virgin Mary,//place.qyer.com/poi/V2UJYlFiBzJTYlI4Cm0/,1人点评,
120,粤海清庙  ,Wak Hai Cheng Bio Temple,//place.qyer.com/poi/V2EJa1FiBzdTZg/,7人点评,
121,Flower Dome  ,,//place.qyer.com/poi/V2YJZVFuBzZTYFI_/,6人点评,1
122,圣淘沙大自然探索中心  ,Sentosa Nature Discovery,//place.qyer.com/poi/V2UJYVFiBzFTYVI3/,9人点评,
123,上海玩具博物馆  ,Museum of Shanghai Toys,//place.qyer.com/poi/V2AJZ1FjBzVTbQ/,11人点评,
124,莱佛士滨海俱乐部  ,Raffles Marina,//place.qyer.com/poi/V2EJZlFuBz9TYQ/,5人点评,
125,新加坡中华总商会  ,Singapore Chinese Chamber of Commerce,//place.qyer.com/poi/V2UJZVFiBzFTbFI3/,5人点评,
126,新加坡知新馆  ,S'pore Discovery Centre,//place.qyer.com/poi/V2UJY1FlBzZTbVI2/,9人点评,
127,Orchard Road  ,,//place.qyer.com/poi/V2UJYVFnBzFTYlI8CmQ/,1人点评,1
128,卡佩芝台和翡翠山  ,Cuppage Terrace & Emerald Hill,//place.qyer.com/poi/V2EJZlFuBzFTZw/,8人点评,
129,登布西山  ,Dempsey Hill,//place.qyer.com/poi/V2YJY1FlBzJTbFI-/,4人点评,
130,麦里芝水库/麦里芝蓄水池  ,,//place.qyer.com/poi/V2UJYVFnBzFTYFI3CmU/,2人点评,
131,海豚园  ,,//place.qyer.com/poi/V2EJa1FnBz5TZ1I3/,4人点评,
132,花柏山景  ,,//place.qyer.com/poi/V2UJYVFnBzFTYVI-CmQ/,1人点评,
133,新加坡国立大学柏林墙  ,Berlin Wall In NUS,//place.qyer.com/poi/V2UJZ1FjBzZTYFI-Cms/,1人点评,
134,新加坡科技与设计大学  ,Singapore University of Technology andDesign,//place.qyer.com/poi/V2UJZ1FiBzBTYVI8CmQ/,2人点评,
135,新加坡艺术学院  ,School Of The Arts,//place.qyer.com/poi/V2UJZ1FiBzBTYFI3Cmw/,2人点评,
136,新加坡圣若瑟堂  ,Saint Joseph's Church,//place.qyer.com/poi/V2YJY1FkBz5TZFI_/,3人点评,
137,莲山双林寺  ,Lian Shan Shuang Lin Monastery,//place.qyer.com/poi/V2AJZ1FgBzRTZA/,7人点评,
138,圣詹姆斯发电厂  ,St. James Power Station,//place.qyer.com/poi/V2MJYFFvBzdTbQ/,9人点评,
139,科尼岛公园  ,Coney Island Park,//place.qyer.com/poi/V2UJYlFiBzZTYVI3Cms/,3人点评,
140,新加坡西海岸公园  ,West Coast Park,//place.qyer.com/poi/V2EJalFiBz5TYg/,14人点评,
141,亚历山大拱桥  ,Alexandra Arch,//place.qyer.com/poi/V2UJYVFmBzFTbVI-/,8人点评,
142,达豪施纪念碑  ,Dalhousie Obelisk,//place.qyer.com/poi/V2UJY1FkBz5TZlI4/,10人点评,
143,拉萨尔设计学院  ,LASALLE College of the Arts,//place.qyer.com/poi/V2UJZVFlBz9TZVI2/,10人点评,
144,新加坡军事博物馆  ,Army Museum of Singapore,//place.qyer.com/poi/V2UJY1FkBz9TZVI-/,7人点评,
145,新加坡基督教青年会  ,YMCA Singapore,//place.qyer.com/poi/V2UJY1FkBz9TZ1I6/,4人点评,
146,鸦片山岗战役纪念馆  ,Reflections at Bukit Chandu,//place.qyer.com/poi/V2EJYFFmBzVTZw/,8人点评,
147,峇峇住宅  ,Baba House,//place.qyer.com/poi/V2UJY1FkBz5TY1I5/,9人点评,
148,良木园大酒店   ,Goodwood Park Hotel (Tower Block),//place.qyer.com/poi/V2UJYlFiBzJTZFI_CmU/,1人点评,
149,新加坡国家档案馆  ,NATIONAL  ARCHIVES OF SINGAPORE,//place.qyer.com/poi/V2YJY1FhBzNTZFI4/,2人点评,
150,圣约瑟教堂  ,,//place.qyer.com/poi/V2UJYVFnBzFTYlI9CmQ/,1人点评,
151,新加坡圣约翰岛  ,San John's Island,//place.qyer.com/poi/V2YJY1FkBzBTY1I_/,1人点评,
152,Onsight 攀岩  ,Onsight Climbing,//place.qyer.com/poi/V2UJZ1FjBzVTZ1I7Cmo/,1人点评,
153,哈里德回教堂 清真寺  ,Masjid Khalid,//place.qyer.com/poi/V2UJZ1FiBz9TYlI6Cm8/,1人点评,
154,新加坡新生水展览馆  ,NEWater Visitor Centre,//place.qyer.com/poi/V2UJZ1FiBz9TYlI6Cm0/,2人点评,
155,凯文思大道  ,Cavenagh Road,//place.qyer.com/poi/V2EJZFFvBz9TZVI2/,1人点评,
156,新加坡国家体育场  ,Singapore National Stadium,//place.qyer.com/poi/V2UJYVFmBzFTbVI8Cmw/,6人点评,
157,新加坡爱来魔相艺术馆  ,Alive Museum Singapore,//place.qyer.com/poi/V2UJYlFiBzFTbVI3Cmw/,1人点评,
158,陈氏宗祠   ,Tan Si Chong Su,//place.qyer.com/poi/V2UJYlFiBzVTYFI6Cm4/,1人点评,
159,新加坡圣伯多禄圣保禄堂  ,Church of Saints Peter and Paul,//place.qyer.com/poi/V2YJY1FkBz5TZFI9/,3人点评,
160,露德圣母堂  ,Church of Our Lady of Lourdes,//place.qyer.com/poi/V2YJY1FkBz5TZFI-/,4人点评,
161,皇后坊大厦  ,Empress Place Building,//place.qyer.com/poi/V2UJY1FkBz5TZVI2/,3人点评,
162,直落亚逸礼拜堂  ,Telok Ayer Chinese Methodist Church,//place.qyer.com/poi/V2UJYVFnBz9TbVI-/,3人点评,
163,阿尔阿布拉回教堂  ,Al Abrar Mosque,//place.qyer.com/poi/V2UJYVFnBz9TbVI9/,4人点评,
164,哈查花蒂玛回教堂  ,Hajjah Fatimah Mosque,//place.qyer.com/poi/V2EJYVFvBzBTbA/,3人点评,
165,善牧主教座堂  ,Cathedral of the Good Shepherd,//place.qyer.com/poi/V2YJY1FnBzBTZVI9/,4人点评,
166,亚米尼亚教堂  ,Armenian Apostolic Church of Saint Gregory the Illuminator,//place.qyer.com/poi/V2UJYlFiBzVTZ1I7Cmo/,1人点评,
167,中正总校竹林楼与牌坊   , Chung Cheng High School (Main) Administration Building and Entrance Arch,//place.qyer.com/poi/V2UJYlFiBzVTZlI5Cmk/,1人点评,
168,Orto  ,,//place.qyer.com/poi/V2YJZVFuBzZTZlI8/,2人点评,1
169,Waterfront Promenade  ,,//place.qyer.com/poi/V2YJZVFuBzZTYFI9/,1人点评,1
170,The Intan  ,,//place.qyer.com/poi/V2YJZVFuBzZTYlI5/,2人点评,1
171,老饕湾美食中心  ,Makansutra,//place.qyer.com/poi/V2YJYVFuBzNTY1I5/,3人点评,
172,三巴旺公园  ,Sembawang Park,//place.qyer.com/poi/V2UJY1FjBzFTZlI-/,5人点评,
173,华裔馆  ,Chinese Heritage Centre,//place.qyer.com/poi/V2UJY1FkBz5TYFI_/,12人点评,
174,白沙公园  ,Pasir Ris Park,//place.qyer.com/poi/V2UJYlFvBzFTbFI6/,5人点评,
