WEBSITE_ID,REVIEW_ID,TYPE,TEXT,RELEVANCE,COUNT,CONFIDENCE,SENTIMENT_SCORE,SENTIMENT_LABEL,SADNESS,JOY,FEAR,DISGUST,ANGER,MIXED_SENTIMENT,DISAMBIGUATION_SUBTYPE,DISAMBIGUATION_NAME,DISAMBIGUATION_RESOURCE
1,492380114,Quantity,$7,0.805387,1,0.8,0.41398,positive,0.248781,0.079182,0.10029,0.104301,0.112738,,,,
1,492380114,Quantity,2 minutes,0.724458,1,0.8,-0.504015,negative,0.504939,0.0551,0.208655,0.289781,0.201707,1,,,
1,492380114,Quantity,25 dollars,0.583184,1,0.8,0.41398,positive,0.244597,0.201755,0.020098,0.099608,0.148889,,,,
1,486094611,Quantity,20 dollars,0.978348,1,0.8,0,neutral,0.241862,0.243693,0.105498,0.164693,0.17499,,,,
1,485820220,Quantity,$0.70,0.958279,1,0.8,0.300023,positive,0.092663,0.234941,0.062191,0.523635,0.19188,,,,
1,485820220,Location,Singapore,0.608224,1,0.997435,0.874175,positive,0.30146,0.280695,0.266222,0.055245,0.104075,,,Singapore,http://dbpedia.org/resource/Singapore
1,485820220,Quantity,20min,0.422478,1,0.8,-0.807686,negative,0.274555,0.298883,0.125079,0.229124,0.262905,,,,
1,467753504,Facility,Sofitel Hotel,0.978348,1,0.964035,0,neutral,0.031044,0.262205,0.162872,0.103594,0.163618,,,,
1,445733510,Quantity,$6,0.963296,1,0.8,0.987381,positive,0.004928,0.807342,0.025181,0.178338,0.006331,,,,
1,445733510,Quantity,$7,0.834961,1,0.8,0.987381,positive,0.004928,0.807342,0.025181,0.178338,0.006331,,,,
1,436570887,Location,singapore,0.963296,1,0.976224,0.927567,positive,0.032831,0.744153,0.103026,0.035737,0.092563,,,Singapore,http://dbpedia.org/resource/Singapore
1,436570887,Quantity,$46,0.564534,1,0.8,0.562925,positive,0.465351,0.134256,0.169304,0.04158,0.129462,,,,
1,395731549,Quantity,$7,0.978348,1,0.8,0.407861,positive,0.580326,0.058417,0.358796,0.067913,0.131094,,,,
1,365260736,Location,Singapore,0.978348,1,0.976157,0.962058,positive,0.198268,0.361866,0.054376,0.012075,0.252403,,,,
1,736443894,Location,Singapore,0.978348,1,0.998687,0,neutral,0.055995,0.464322,0.122161,0.038043,0.147079,,,Singapore,http://dbpedia.org/resource/Singapore
1,674176897,Location,Singapore,0.978348,1,0.994322,0.623994,positive,0.246429,0.652153,0.068851,0.006429,0.056195,,,Singapore,http://dbpedia.org/resource/Singapore
1,502184254,Location,Singapore,0.963296,2,0.985959,-0.484896,negative,0.366714,0.049553,0.050497,0.055759,0.143056,1,,Singapore,http://dbpedia.org/resource/Singapore
1,502184254,Quantity,$17,0.835626,1,0.8,0.45341,positive,0.122016,0.502829,0.019384,0.024963,0.062394,,,,
1,502184254,Quantity,18 years,0.734744,1,0.8,0.632032,positive,0.426746,0.21451,0.100086,0.144052,0.082328,,,,
1,502184254,Location,Malaysia,0.166159,1,0.999807,-0.672374,negative,0.64204,0.073264,0.099867,0.046729,0.040647,,,,
1,461716178,Location,Singapore,0.978348,1,0.997434,0,neutral,0.057157,0.082652,0.488235,0.012412,0.013729,,,Singapore,http://dbpedia.org/resource/Singapore
1,721266085,Location,Singapore,0.978348,1,0.997853,0,neutral,0.303507,0.079922,0.214291,0.038203,0.404917,,,Singapore,http://dbpedia.org/resource/Singapore
1,461200592,Location,Singapore,0.978348,1,0.999711,0.58651,positive,0.055995,0.464322,0.122161,0.038043,0.147079,,,Singapore,http://dbpedia.org/resource/Singapore
1,628527089,Location,Singapore,0.978348,1,0.992862,0.866974,positive,0.066528,0.710655,0.0296,0.018261,0.044075,,,Singapore,http://dbpedia.org/resource/Singapore
1,628308688,Location,Singapore,0.978348,1,0.996319,0.996187,positive,0.014484,0.951594,0.00773,0.012987,0.007518,,,Singapore,http://dbpedia.org/resource/Singapore
1,600014015,Person,Satay Power,0.963296,1,0.086676,0,neutral,0.061508,0.0222,0.049741,0.118824,0.12879,,,,
1,600014015,Location,Pa,0.093104,1,0.940235,0,neutral,0.061508,0.0222,0.049741,0.118824,0.12879,,,,
1,599763154,Location,Singapore,0.978348,1,0.995163,-0.400966,negative,0.392538,0.138491,0.067502,0.024392,0.554574,,,Singapore,http://dbpedia.org/resource/Singapore
1,599725038,Facility,Lau Pa Sat hawker centre,0.978348,1,0.306048,0.79914,positive,0.056012,0.240753,0.030181,0.03899,0.137702,,,,
1,582097722,Quantity,$41,0.978348,1,0.8,-0.578479,negative,0.21384,0.285101,0.021317,0.019883,0.436668,,,,
1,572767987,Location,Singapore,0.978348,1,0.88941,0.884104,positive,0.207679,0.495132,0.033454,0.166241,0.098138,,,Singapore,http://dbpedia.org/resource/Singapore
1,557582276,Location,Singapore,0.978348,1,0.998771,0,neutral,0.215787,0.230369,0.112637,0.092388,0.111312,,,Singapore,http://dbpedia.org/resource/Singapore
