"","poi","no.of.visitors"
"289","Punggol Plaza",73
"290","Heartland Mall-Kovan",72
"291","Riverside Point",68
"292","Rivervale Mall",62
"293","Cat Socrates",61
"294","Sim Lim Tower",57
"295","Hougang Point",54
"296","Sunshine Plaza",54
"297","Tristar Complex",53
"298","The Intan",48
"299","Koon Seng Road Shophouses",47
"300","Beer Market",46
"301","Club Street(bars and restaurants)",44
"302","Paya Lebar Square",40
"303","Sri Senpaga Vinayagar Temple",38
"304","National Design Centre",36
"305","Shaw Plaza",35
"306","Ann Siang Road(bars and restaurants)",33
"307","Teong Theng",32
"308","Pacific Plaza",31
"309","Sentosa Cove",25
"310","Paradiz Centre",24
"311","Asian Civilisations Museum",22
"312","Petain Road Terrace Houses",20
"313","Tanglin Shopping Centre",20
"314","Tanjong Katong Complex",14
"315","Bukit Timah Shopping Centre",13
"316","Tourism Court",13
"317","Bedok Point",10
"318","Big Box",10
"319","MegaZip Adventure Park",10
"320","Palais Renaissance",10
"321","Singapore Shopping Centre",10
"322","Tampines Mart",10
