POI_INDEX,TOTAL_REVIEWS,RANKING,RATINGS,ADDRESS,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
36,974,36,4.8,"1 Harbourfront Ave, tower 2 Keppel Bay Tower , Singapore",全年  09:00-22:00；缆车最后登车时间为21:30。,2020-02-04 18:08:40.065833
37,254,37,4.4,"385BeachRoad,Singapore199581",全天开放,2020-02-04 18:08:57.547855
38,284,38,4.5,AlongEastCoastParkwayandEastCoastParkServiceRoadSingapore449876,全天开放,2020-02-04 18:09:16.776817
39,297,39,4.4,"109 Mount Faber Road, Faber Peak , Singapore 099203",8:45-22:00(周一-周日）（最后登车时间为21:30）,2020-02-04 18:09:49.973759
40,197,40,4.5,"140HillSt,Singapore179369",全天开放,2020-02-04 18:10:08.793130
41,287,41,4.5,"288,SouthBridgeRoad，Singapore058840",7:00-19:00（2020年1月24日山门将在11:00关闭，23:30开启）；博物馆和佛塔室9:00-18:00。,2020-02-04 18:10:24.935210
42,140,42,4.6,21LowerKentRidgeRoad，Singapore119077,全天开放,2020-02-04 18:10:44.774097
43,173,43,4.3,1GeylangSerai,8:00-22:00,2020-02-04 18:11:05.795938
44,399,44,4.6,1 Cluny Road Singapore 259569,10:00-19:00（周一-周日）（最晚入场时间18:00）,2020-02-04 18:11:25.754870
45,209,45,4.4,"8QueenStreet,Singapore188535.",暂停营业,2020-02-04 18:11:43.535515
46,402,46,4.6,"8 Sentosa Gateway, Resorts World Sentosa",全年  10:00-18:00。,2020-02-04 18:12:00.357664
47,190,47,4.7,"50NanyangAvenue,Singapore639798",全天开放,2020-02-04 18:12:18.732485
48,150,48,4.5,"177HindhedeDriveBukitTimahVhfStation,Singapore589333,Singapore",周六、周日7:00-18:00,2020-02-04 18:12:36.971885
49,151,49,4.4,"PulauUbin,PulauUbin000701",全天开放,2020-02-04 18:12:59.169162
50,186,50,4.4,Red Dot Design Museum，11 Marina Boulevard. ，Singapore 018940.,全年  10:00-20:00；博物馆内展览&设计商店&咖啡吧&酒吧的开放时间以时令公告为准。。,2020-02-04 18:13:17.732490
51,140,51,4.4,"9EmpressPlace,Singapore179556",10:00-21:00,2020-02-04 18:13:37.255936
52,122,52,4.2,HollandVillage，Singapore,全天开放,2020-02-04 18:13:56.580393
53,119,53,4.3,"1OldParliamentLn,Singapore179429",10:00-22:00。游客服务中心周一-周日10:00-20:00，公共假日关闭。,2020-02-04 18:14:16.116134
53,119,53,4.3,"1OldParliamentLn,Singapore179429",10:00-22:00。游客服务中心周一-周日10:00-20:00，公共假日关闭。,2020-02-04 18:14:36.591366
54,119,54,4.3,"3NewBugisStreet,#03-01,，Singapore188867",11:00-22:00,2020-02-04 18:14:55.781946
55,391,55,4.6,"01-05 Singapore Flyer | Tourist Hub, Singapore, Singapore",9:30-17:30。,2020-02-04 18:15:14.216921
56,157,56,4.4,"RiverValleyRd,Singapore179037",全天开放,2020-02-04 18:15:34.083761
57,112,57,4.6,23-BColemanStreet，Singapore179807,"13:00-19:00（周一）,9:30-19:00（周二至周日）。",2020-02-04 18:15:54.246274
58,111,58,4.5,"1 Empress Pl, Singapore 179555",周六-周四10:00-19:00，周五10:00-21:00,2020-02-04 18:16:12.031974
59,117,59,4.4,"218SouthBridgeRoad,Singapore058767",周一-周四、周六、周日10:00-18:00；周五10:00-12:00，14:30-18:00；斋戒月的访问时间会有所变化，详情请咨询官网。,2020-02-04 18:16:31.518219
60,95,60,4.7,2BayfrontAvenue,全天开放。,2020-02-04 18:16:49.740887
61,109,61,4.6,"10A Siloso Beach Walk, Singapore 099008",11:00-19:00（周一-周日）,2020-02-04 18:17:07.969791
62,113,62,4.6,"2OrchardTurnIONOrchard,Level56,Singapore238801",2020年1月27日-2月2日：Adventures in Food Wonderland by Ang Ku Kueh Girl® and Friends™演出时间14:00、16:00、19:00；The Transformation of Orchard Road by Dick Lee演出时间15:00、17:00、20:00。演出时间随节目安排会有变动，详情请参考官网公示信息。,2020-02-04 18:17:24.410703
63,182,63,4.4,26 Sentosa Gateway #01-43/44,全年  09:00-21:00；其中最晚入园时间为20:00。此开放时间仅供参考，景区可能临时变更开放时间而不提前通知，请以现场景区的开放时间为准。,2020-02-04 18:17:44.794879
64,72,64,4.3,22PunggolRoad-Track19,全天开放,2020-02-04 18:18:00.609089
65,62,65,4.7,"OffLornieRoad,Singapore",8:00-19:00,2020-02-04 18:18:24.050377
66,69,66,4.3,Blk8D#03-01，DempseyRoad，Singapore249679,全天开放,2020-02-04 18:18:41.690887
67,78,67,4.4,"PasirRisCentral,Singapore510534",全天开放。,2020-02-04 18:19:00.387409
68,77,68,4.5,"39ArmenianStreet,Singapore179941,Singapore",周一-周四、周六、周日10:00-19:00，周五10:00-21:00,2020-02-04 18:19:19.562904
69,0,69,4.4,"6 Raffles Blvd, 01-221, Singapore 039594",,2020-02-04 18:19:38.631242
70,54,70,4.6,HendersonRoad;SouthernRidges;BukitMerahSingapore159557,全天开放,2020-02-04 18:19:55.763639
71,41,71,4.5,"MacRitchieReservoirPark,Singapore298717",周一10:00–20:00，周二-周五9:00-17:00；周六、周日8:30-17:00。,2020-02-04 18:20:15.871665
72,54,72,4.5,"45MaxwellRoad,TheURACentre,069118",周一-周六9:00-17:00，周日、公众假期休息。,2020-02-04 18:20:35.879764
73,67,73,4.2,62HillSt，Singapore179367,周二-周日10:00-17:00，周一关闭。,2020-02-04 18:20:54.924944
74,1075,74,4.6,"220 Orchard Rd, #B1-03 Midpoint Orchar",10：00至傍晚18：00。,2020-02-04 18:21:12.073191
75,67,75,4.5,"OffOrchardRoad,Singapore,Singapore",全天开放,2020-02-04 18:21:29.531258
76,0,76,4.6,Suntec City Unit #01-330,,2020-02-04 18:21:48.667544
