,WEBSITE_INDEX,POI_NAME,ENGLISH_NAME,URL
76,4,安详山  ,Ann Siang Hill,https://place.qyer.com/poi/V2UJY1FmBzNTZFI6/
77,4,双溪布洛湿地保护区  ,Sungei Buloh Wetland Reserve,https://place.qyer.com/poi/V2AJa1FvBz9TZQ/
78,4,四马路观音堂  ,Kwan Im Tng  Temple,https://place.qyer.com/poi/V2EJZVFkBzZTYA/
79,4,詹美清真寺  ,Jamae Mosque,https://place.qyer.com/poi/V2MJYFFvBzZTZw/
80,4,武吉士街  ,None,https://place.qyer.com/poi/V2UJYVFnBzFTYFI3CmQ/
81,4,裕华园  ,Chinese Garden,https://place.qyer.com/poi/V2UJY1FkBzFTbFI9/
82,4,土生华人博物馆  ,Peranakan Museum,https://place.qyer.com/poi/V2EJY1FhBzdTYA/
83,4,圣安德烈教堂  ,None,https://place.qyer.com/poi/V2UJYVFnBzFTYlI8Cm4/
84,4,芽笼  ,Geylang,https://place.qyer.com/poi/V2UJYVFnBzFTYVI7CmU/
85,4,新加坡亚美尼亚教堂  ,Armenian Church,https://place.qyer.com/poi/V2EJYVFvBzZTYQ/
86,4,南洋理工大学学习中心  ,Learning Hub,https://place.qyer.com/poi/V2EJa1FmBz5TY1I9/
87,4,西乐索炮台  ,Fort Siloso,https://place.qyer.com/poi/V2UJY1FkBz9TZFI_/
88,4,河的子民雕塑群  ,People of the River,https://place.qyer.com/poi/V2UJY1FkBz5TZlI6/
89,4,裕廊花园  ,Jurong Gardens,https://place.qyer.com/poi/V2EJZlFuBzNTbQ/
90,4,滨海堤坝  ,Marina Barrage,https://place.qyer.com/poi/V2UJYVFiBzdTbFI6/
91,4,翡翠山路  ,Emerald Hill Road,https://place.qyer.com/poi/V2AJZ1FgBzRTYQ/
92,4,新加坡滨海艺术中心--音乐厅  ,None,https://place.qyer.com/poi/V2UJYVFnBzZTYVI4Cm4/
93,4,南洋理工大学艺术设计媒体学院  ,NTU-ADM,https://place.qyer.com/poi/V2EJa1FmBz5TY1I7/
94,4,丹戎海滩  ,Tanjong Beach,https://place.qyer.com/poi/V2UJYVFnBzFTZ1I3/
95,4,马来传统文化馆  ,Malay Heritage Centre,https://place.qyer.com/poi/V2AJZ1FhBzVTZA/
96,4,英比奥山顶景区  ,Imbiah Lookout,https://place.qyer.com/poi/V2MJYFFuBz9TYQ/
97,4,肯特岗公园  ,Kent Ridge Park,https://place.qyer.com/poi/V2EJYFFjBzFTZA/
98,4,民防与消防历史博物廊  ,Civil Defence Heritage Gallery,https://place.qyer.com/poi/V2EJa1FmBzZTbA/
99,4,圣淘沙天际线斜坡滑车  ,Skyline Sentosa Luge,https://place.qyer.com/poi/V2UJYlFgBzVTZlI2Cmk/
100,4,旧禧街警察局  ,Old Hill Street Police Station,https://place.qyer.com/poi/V2UJYVFnBzFTYVI2Cm4/
101,4,阿都卡夫回教堂  ,Masjid Abdul Gafoor,https://place.qyer.com/poi/V2UJY1FkBz9TbFI8/
102,4,新加坡特丽爱3D美术馆  ,Trick Eye Museum,https://place.qyer.com/poi/V2UJYVFkBzRTZVI9/
103,4,亚洲大陆最南端  ,None,https://place.qyer.com/poi/V2UJYVFnBzFTYVI4CmQ/
104,4,拉柏多自然保护区  ,Labrador Nature Reserve,https://place.qyer.com/poi/V2AJZVFgBzVTZQ/
105,4,荷兰村  ,None,https://place.qyer.com/poi/V2UJYVFnBzFTYlI8Cms/
106,4,大巴窑  ,Toa Payoh,https://place.qyer.com/poi/V2UJYlFgBzdTZFI9Cm0/
107,4,新加坡丹戎巴葛火车站  ,Tanjong Pagar Railway Station,https://place.qyer.com/poi/V2YJY1FnBzVTZVI_/
108,4,NationalLibraryofSingapore  ,None,https://place.qyer.com/poi/V2YJZVFuBzZTYlI9/
109,4,新加坡城市画廊  ,Singapore City Gallery,https://place.qyer.com/poi/V2UJYVFnBz9TbVI8/
110,4,罗拔申码头  ,Robertson Quay,https://place.qyer.com/poi/V2AJalFmBzdTZA/
111,4,樟宜海滨公园  ,Changi Beach Park,https://place.qyer.com/poi/V2UJYlFvBzFTY1I6/
112,4,孙中山南洋纪念馆  ,Sun Yat Sen Nanyang Memorial Hall,https://place.qyer.com/poi/V2EJZlFuBzNTZA/
113,4,东海岸快速公路  ,None,https://place.qyer.com/poi/V2UJZVFjBzdTZFI8/
114,4,陈东龄故居  ,House of Tan Teng Niah,https://place.qyer.com/poi/V2UJYVFmBzBTbFI9/
115,4,坤成路  ,Koon Seng Road,https://place.qyer.com/poi/V2UJYVFmBzBTY1I7/
116,4,达士岭组屋  ,The Pinnacle Duxton Skybridge,https://place.qyer.com/poi/V2UJZ1FiBzBTYFI4CmQ/
117,4,麦里芝自然小径  ,MacRitchie Nature Trail,https://place.qyer.com/poi/V2YJZVFuBzZTZ1I4/
118,4,新加坡杜莎夫人蜡像馆  ,Madame Tussauds Singapore,https://place.qyer.com/poi/V2YJY1FlBzJTbFI_/
