POI_INDEX,TOTAL_REVIEWS,RANKING,RATINGS,ADDRESS,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
15,429,15,4.4,"1EsplanadeDrive,Singapore038981",周一-周五10:00-20:00，周六11:00-20:00，周日关闭。,2020-01-25 23:01:25.649203
16,3238,16,4.8,"Imbiah Lookout 51 Cable Car Road | 45 Siloso Beach Walk, Sentosa Island 099003",全年  10:00-21:30；最晚入园时间21:15。,2020-01-25 23:01:59.880164
17,828,17,4.6,"93 Stanford Road, Singapore",10:00 AM - 19:00 PM。,2020-01-25 23:02:31.945977
18,416,18,4.7,10BayfrontAvenueSingapore018956,全天开放 新加坡滨海湾Prudential嘉年华开放时间：至2018年4月1日，16:00至23:00（最后入场时间22:00）,2020-01-25 23:03:11.902723
19,459,19,4.6,"Singapore River, Singapore",City Tours鸭子船：9:30-17:30。DUCKtours鸭子船：10：00至傍晚18：00。克拉码头：09:00 — 22:00。。,2020-01-25 23:03:48.386993
20,462,20,4.4,11StAndrew'sRoad，Singapore178959,周一、周二、周四、周五、周六：9:00-17:00;周三：9:45-17:00;周日：9:00-13:30,2020-01-25 23:04:31.214703
21,744,21,4.5,10 Bayfront Avenue，Singapore,周一-周四：9:30—22:00；	 周五-周日：9:30—23:00。,2020-01-25 23:05:04.935867
22,581,22,4.6,1 St. Andrew’s Road Singapore 178957,10:00-19:00（周一至周四，周六周日）； 10:00-21:00（周五）。,2020-01-25 23:05:39.850864
23,1210,23,4.7,80 Mandai Lake Road Singapore 729826,全年  10:00-19:00；10:00-19:00（周一-周日）最晚入园时间18点30分。,2020-01-25 23:06:13.667995
24,645,24,4.8,"10BayfrontAve,Singapore018956",6:00-23:00，无边泳池（包括南花园和南花园）可能会因私人​​活动而关闭。,2020-01-25 23:06:52.744519
25,2591,25,4.7,"10 Beach View, Sentosa Island 099538, Singapore",全年  13:00-20:40；13:00-20:40为可换票时间，一天有两个表演场次，分别是19:40和20:40。,2020-01-25 23:07:29.764077
26,2058,26,4.8,"8 Sentosa Gateway, Resorts World Sentosa, Singapore 098269",全年  10:00-18:00。,2020-01-25 23:08:07.097315
27,406,27,4.5,"85APalawanBeachWalkSentosa-SwimmingLagoonRest|SouthernmostPoint,SentosaIsland098521,Singapore",全天开放,2020-01-25 23:08:43.456868
28,375,28,4.4,"HajiLn,Singapore",全天开放,2020-01-25 23:09:19.926668
29,274,29,4.4,"3MuscatStreet,Singapore198833",周一-周四、周六、周日10:00-12:00、14:00-16:00，周五14:30-16:00。,2020-01-25 23:09:54.486455
30,891,30,4.7,2 Jurong Hill Singapore 628925,8:30-18:00（周一-周日）（最晚入园时间是17:30）。,2020-01-25 23:10:25.360909
31,210,31,4.5,"30VictoriaStreet,Singapore187996",全天开放,2020-01-25 23:11:00.051469
32,302,32,4.4,"SilosoBeachWalk,Singapore",全天开放,2020-01-25 23:11:35.645422
33,365,33,4.5,"LinkingbetweenMarinaBayandMarinaCentre,Singapore038981,Singapore",全天开放，无需门票。,2020-01-25 23:12:11.587087
34,394,34,4.3,"244SouthBridgeRd,Singapore058793","7:00-11:30,18:00-20:45",2020-01-25 23:12:49.738700
35,617,35,4.6,"6 Bayfront Ave,Singapore 018956",10:00-19:00（最后入场时间为18:00）。,2020-01-25 23:13:23.324806
36,965,36,4.8,"1 Harbourfront Ave, tower 2 Keppel Bay Tower , Singapore",全年  09:00-22:00；缆车最后登车时间为21:30。,2020-01-25 23:13:56.789688
37,254,37,4.4,"385BeachRoad,Singapore199581",全天开放,2020-01-25 23:14:32.268247
38,284,38,4.5,AlongEastCoastParkwayandEastCoastParkServiceRoadSingapore449876,全天开放,2020-01-25 23:15:13.064660
39,297,39,4.4,"109 Mount Faber Road, Faber Peak , Singapore 099203",8:45-22:00(周一-周日）（最后登车时间为21:30）,2020-01-25 23:15:51.980453
40,196,40,4.5,"140HillSt,Singapore179369",全天开放,2020-01-25 23:16:25.653731
41,287,41,4.5,"288,SouthBridgeRoad，Singapore058840",7:00-19:00（2020年1月24日山门将在11:00关闭，23:30开启）；博物馆和佛塔室9:00-18:00。,2020-01-25 23:17:06.079759
42,140,42,4.6,21LowerKentRidgeRoad，Singapore119077,全天开放,2020-01-25 23:17:42.717745
43,173,43,4.3,1GeylangSerai,8:00-22:00,2020-01-25 23:18:19.928234
44,396,44,4.6,1 Cluny Road Singapore 259569,10:00-19:00（周一-周日）（最晚入场时间18:00）,2020-01-25 23:18:58.759647
45,209,45,4.4,"8QueenStreet,Singapore188535.",暂停营业,2020-01-25 23:19:34.130527
46,400,46,4.6,"8 Sentosa Gateway, Resorts World Sentosa",全年  10:00-18:00。,2020-01-25 23:20:07.356255
47,188,47,4.7,"50NanyangAvenue,Singapore639798",全天开放,2020-01-25 23:20:39.696433
48,150,48,4.5,"177HindhedeDriveBukitTimahVhfStation,Singapore589333,Singapore",周六、周日7:00-18:00,2020-01-25 23:21:19.467113
49,151,49,4.4,"PulauUbin,PulauUbin000701",全天开放,2020-01-25 23:21:51.870821
50,186,50,4.4,Red Dot Design Museum，11 Marina Boulevard. ，Singapore 018940.,全年  10:00-20:00；博物馆内展览&设计商店&咖啡吧&酒吧的开放时间以时令公告为准。。,2020-01-25 23:22:28.800831
51,140,51,4.4,"9EmpressPlace,Singapore179556",10:00-21:00,2020-01-25 23:23:03.352604
52,122,52,4.2,HollandVillage，Singapore,全天开放,2020-01-25 23:23:44.579170
53,119,53,4.3,"1OldParliamentLn,Singapore179429",10:00-22:00。游客服务中心周一-周日10:00-20:00，公共假日关闭。,2020-01-25 23:24:22.902159
54,119,54,4.3,"3NewBugisStreet,#03-01,，Singapore188867",11:00-22:00,2020-01-25 23:25:03.498545
55,385,55,4.6,"01-05 Singapore Flyer | Tourist Hub, Singapore, Singapore",9:30-17:30。,2020-01-25 23:25:40.520563
56,156,56,4.4,"RiverValleyRd,Singapore179037",全天开放,2020-01-25 23:26:16.158831
57,112,57,4.6,23-BColemanStreet，Singapore179807,"13:00-19:00（周一）,9:30-19:00（周二至周日）。",2020-01-25 23:26:51.654868
58,110,58,4.5,"1 Empress Pl, Singapore 179555",周六-周四10:00-19:00，周五10:00-21:00,2020-01-25 23:27:30.810607
59,117,59,4.4,"218SouthBridgeRoad,Singapore058767",周一-周四、周六、周日10:00-18:00；周五10:00-12:00，14:30-18:00；斋戒月的访问时间会有所变化，详情请咨询官网。,2020-01-25 23:28:07.470571
60,94,60,4.7,2BayfrontAvenue,全天开放。,2020-01-25 23:28:40.070893
61,109,61,4.6,"10A Siloso Beach Walk, Singapore 099008",11:00-19:00（周一-周日）,2020-01-25 23:29:10.338664
62,112,62,4.6,"2OrchardTurnIONOrchard,Level56,Singapore238801",2020年1月27日-2月2日：Adventures in Food Wonderland by Ang Ku Kueh Girl® and Friends™演出时间14:00、16:00、19:00；The Transformation of Orchard Road by Dick Lee演出时间15:00、17:00、20:00。演出时间随节目安排会有变动，详情请参考官网公示信息。,2020-01-25 23:29:43.696840
63,182,63,4.4,26 Sentosa Gateway #01-43/44,全年  09:00-21:00；其中最晚入园时间为20:00。此开放时间仅供参考，景区可能临时变更开放时间而不提前通知，请以现场景区的开放时间为准。,2020-01-25 23:30:20.995528
64,71,64,4.2,22PunggolRoad-Track19,全天开放,2020-01-25 23:30:55.030131
65,62,65,4.7,"OffLornieRoad,Singapore",8:00-19:00,2020-01-25 23:31:33.218793
66,69,66,4.3,Blk8D#03-01，DempseyRoad，Singapore249679,全天开放,2020-01-25 23:32:07.390344
67,78,67,4.4,"PasirRisCentral,Singapore510534",全天开放。,2020-01-25 23:32:48.596822
68,77,68,4.5,"39ArmenianStreet,Singapore179941,Singapore",周一-周四、周六、周日10:00-19:00，周五10:00-21:00,2020-01-25 23:33:22.239094
69,0,69,4.4,"6 Raffles Blvd, 01-221, Singapore 039594",,2020-01-25 23:33:57.153945
70,54,70,4.6,HendersonRoad;SouthernRidges;BukitMerahSingapore159557,全天开放,2020-01-25 23:34:36.694886
71,41,71,4.5,"MacRitchieReservoirPark,Singapore298717",周一10:00–20:00，周二-周五9:00-17:00；周六、周日8:30-17:00。,2020-01-25 23:35:12.931814
72,54,72,4.5,"45MaxwellRoad,TheURACentre,069118",周一-周六9:00-17:00，周日、公众假期休息。,2020-01-25 23:35:42.779160
73,67,73,4.2,62HillSt，Singapore179367,周二-周日10:00-17:00，周一关闭。,2020-01-25 23:36:19.398069
74,1057,74,4.6,"220 Orchard Rd, #B1-03 Midpoint Orchar",10：00至傍晚18：00。,2020-01-25 23:36:56.165660
75,67,75,4.5,"OffOrchardRoad,Singapore,Singapore",全天开放,2020-01-25 23:37:31.103728
76,0,76,4.6,Suntec City Unit #01-330,,2020-01-25 23:38:04.843932
77,34,77,4.4,41RobertsonQuay，Singapore238236,"周一-周五10:00-19:00;周六9:00-18:00,周日及节假日关闭。",2020-01-25 23:38:20.554692
78,311,78,4.5,"SantosaIsland,Singapore",11:00-21:00,2020-01-25 23:38:49.825857
79,283,79,4.5,"48 Pagoda Street, Singapore 059207, Singapore",9:00-20:00（周一至周日），最后入场时间为19:00。每个月的第一个周一闭馆。,2020-01-25 23:39:28.191372
80,642,80,4.7,15 Science Centre Road Singapore 609081,全年  10:00-18:00；科学馆：每天: 10:00am-6:00pm (最晩入场时间 5:15pm)；  萬像电影馆：星期一至五: 12:00pm-6:00pm (最晩一场表演 5:00pm) 周末，学校假期和假日 12:00pm-7:00pm (最晩一场表演时间6:00pm) 2019年闭馆日期：1月7/14/21日；2月4/18/25日。。,2020-01-25 23:40:00.365711
81,471,81,4.5,"30 Imbiah Road, Sentosa Island, Singapore 099958",10:00-20:00（周一-周日）（最后入场时间晚上19:30）,2020-01-25 23:40:34.346643
82,161,82,4.8,新加坡樟宜机场T2三层离境过境区域（靠近向日葵花园）,全天开放。娱乐区内各设施开放时间不同，详情请参考樟宜机场官网。,2020-01-25 23:41:10.888116
83,201,83,4.5,8 Sentosa Gateway， Resorts World Sentosa,全年  10:00-19:00；1、海事博物馆特殊开放时间为10:00-20:00的日期：1月25/26日；开放时间为10:00-18:00的日期：2月24日。2、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准；。,2020-01-25 23:41:46.217897
84,9,84,4.4,"Blk333,KretaAyerRoad,#03-23",,2020-01-25 23:42:21.547288
85,5,85,4,"Blk333,KretaAyerRoad,#03-23",,2020-01-25 23:42:30.724401
86,2,86,5,SMUSchoolofInformationSystems-BigSteps,,2020-01-25 23:42:39.993969
87,3,87,4.3,"31ExeterRd,Singapore239732",,2020-01-25 23:42:48.208801
88,2,88,4.5,"1TurfClubAvenue,SingaporeRacecourse,Singapore738078​",,2020-01-25 23:42:58.549901
89,2,89,3.5,"Singapore,130EMindenRd,Singapore248819",,2020-01-25 23:43:08.021828
90,147,90,4.5,"FestiveWalk,Singapore",全天开放,2020-01-25 23:43:16.658053
91,175,91,4.7,40 Imbiah Road， Sentosa， Singapore 099700,周一至周五：10:00-20:30  最后入馆时间为19:00。特殊日期开放时间：11月9日开放时间为16:15-19:00。以上时间仅供参考，具体以景区当天的安排为准。,2020-01-25 23:43:49.511545
92,120,92,4.4,"Imbiah,（圣淘沙境内）",全天开放,2020-01-25 23:44:23.955418
93,133,93,4.5,120TanjongBeachWalk,全天开放。,2020-01-25 23:44:59.132530
94,99,94,4.5,"RafflesPlace,Singapore",全天开放,2020-01-25 23:45:38.723927
95,127,95,4.4,"BonhamSt,Singapore049782",全天开放,2020-01-25 23:46:16.209009
96,1,96,3,HougangAve7,,2020-01-25 23:46:52.590826
97,114,97,4.3,3TemasekBlvd,10:00-12:00;14:00-16:00;18:00-19:30,2020-01-25 23:47:01.614703
98,133,98,4.5,"1FullertonSquare,Singapore049178",全天开放,2020-01-25 23:47:36.078198
99,84,99,4.5,新加坡樟宜机场T3一层入境大厅,12:00-22:30,2020-01-25 23:48:09.239925
100,174,100,4.3,"26 Seah Street, Singapore 188382, Singapore",9:30-18:30（最晚入园时间18:00）,2020-01-25 23:48:43.537073
101,99,101,4.3,"262PasirPanjangRoad,Singapore118628",9:00-22:00（最晚入园时间21:30）；Ten Courts of Hell：9:00-21:30（最后入场时间为21:15）。,2020-01-25 23:49:20.730755
102,81,102,4.8,新加坡樟宜机场T2二层离境过境区域中央的LeeHwa钻石店后面,全天开放,2020-01-25 23:50:00.207726
103,110,103,4.2,"Siloso,SentosaIsland,Singapore",10:00-18:00（最迟入场下午17:30）,2020-01-25 23:50:41.767481
104,80,104,4.8,"78 Airport Blvd, Singapore 819666",10:00-22:00，各小景点的开放时间以现场实际情况为准。,2020-01-25 23:51:18.602444
105,159,105,4.3,51 Imbiah Rd， Sentosa，, 9:30-19:00（周一-周日） (最迟入场下午18:30）,2020-01-25 23:51:53.826709
106,100,106,4.4,"85 Sultan Gate, Singapore 198501","周一休馆，周二至周日：10:00-18:00（最后入馆时间为下午17:30）。  免费英文导览：周二与周五（11:00 AM） / 周二 与 四（2：00pm） / 周六（2:00 PM） 
免费中文导览：每月第三个周六（1:00 PM）",2020-01-25 23:52:27.132580
107,69,107,4.6,新加坡樟宜机场T1、T2、T3的离境过境区域内,全天开放,2020-01-25 23:53:01.781693
108,65,108,4.6,新加坡樟宜机场T1二层离境过境区域中央广场,全天开放,2020-01-25 23:53:43.063459
109,82,109,4.7,"8SentosaGateway,",20:00开始。,2020-01-25 23:54:21.131285
110,118,110,4.4,"60HillSt,Singapore179366",10:00-18:00,2020-01-25 23:54:58.691217
111,77,111,4.5,圣淘沙西乐索海滩步道36号,周一-周五11:30-21:30 周末和新加坡公众假期10:30-21:30,2020-01-25 23:55:35.695047
112,139,112,4.3,"WarMemorialParkBeachRoad,Singapore",全天开放,2020-01-25 23:56:10.339369
113,76,113,4.5,301NeoTiewCrescentSingapore718925,7:30-19:00（周一至周六）；7:00-19:00（周日与公共假日）,2020-01-25 23:56:46.572826
114,46,114,4.5,新加坡樟宜机场T1、T2、T3,全天开放,2020-01-25 23:57:22.546301
115,100,115,4.3,158TelokAyerStreet,7:30-17:30,2020-01-25 23:57:55.641740
116,57,116,4.3,39ArtilleryAve,暂停营业,2020-01-25 23:58:31.074776
117,140,117,4.7,"#01 Sentosa Island, 43 Siloso Beach Walk, 01, Singapore 099010",周一、周二、周四和周五（10:00-21:30），周三（12:00-21:30），周六和周日（10:00-11:30，12:00-17:30，18:00-21:30），其中2020年的1月15日提早闭园（最后一场飞行时间在17点，因此您至少需要在16点前在柜台办理登记）。,2020-01-25 23:59:06.715017
118,99,118,4.4,1FullertonRd,全天开放,2020-01-25 23:59:44.100241
119,50,119,4.3,StJohn'sIsland，Singapore,,2020-01-26 00:00:21.061627
120,100,120,4.6,"18MarinaGardensDriveGardensBytheBay,Singapore018953,Singapore",9:00-21:00，最后售票时间：20:00；最后入场时间：20:00。,2020-01-26 00:00:55.582107
121,81,121,4.3,"113EastCoastRoad,Singapore428803",全天开放,2020-01-26 00:01:34.930251
122,112,122,4.9,"GardensbytheBay|18MarinaGardensDrive,Singapore018953,Singapore",9:00-21:00，最后入场和售票时间为20:00。迷雾时间10:00、12:00、14:00、 16:00、18:00、20:00。更多开放时间请以官网公示为准。,2020-01-26 00:02:10.393281
123,44,123,4.8,"Singapore River, Singapore","每天9:00 AM - 23:00 PM（每30分钟一班）
最后一班船出发时间为22:30 PM",2020-01-26 00:02:41.510155
124,126,124,4.2,"SingaporeRiver,attheendofOldParliamentLane,Singapore",全天开放,2020-01-26 00:03:20.460072
125,52,125,4.3,"82SungeiTengahRd,Singapore698985",周一-周日9:30-21:30，公共假日9:30-21:30。,2020-01-26 00:03:53.819058
126,48,126,4.5,在圣淘沙鱼尾狮公园后面,,2020-01-26 00:04:24.568633
127,136,127,4.1,51B Imbiah Road,10：00-21:00 其中4合1游戏配套的最后入场时间：19:30；单项游戏的最后入场时间：20:45，以上时间仅供参考，具体以景区现场安排为准。,2020-01-26 00:04:58.142766
128,85,128,4.3,"12 Tai Gin Road Sun Yat Sen Nanyang Memorial Hall, Singapore 327874, Singapore","周二-周日10:00-17:00，周一休馆。（最晚入园时间16:30） 免费英文向导：周二 - 周五：2:00 PM / 周六 - 周日：3:00 PM
 免费普通话向导：周二，周四，周六，周日：2:30 PM
",2020-01-26 00:05:37.464647
129,75,129,4.2,510UpperJurongRoad,周二-周日9:00-18:00，周一闭馆（公共假期和学期假期除外）。,2020-01-26 00:06:16.650583
130,29,130,4.3,"45ArmenianStreet,Singapore179936,Singapore",周二-周四、周日18:00-次日1:00，周五、周六18:00-次日2:00，周一关闭,2020-01-26 00:06:55.795837
131,75,131,4.4,"40 Imbiah Rd, Imbiah Lookout Sentosa, Singapore 099700",全年  11:00-19:00；最后一场的时间是19:00，以上时间仅供参考，具体以景区当天的安排为准。。,2020-01-26 00:07:17.405796
132,128,132,4.6,"OrchardRoad,Singapore238823",暂时停业，具体开放时间可参考官网，原开放时间：8:30-18:00，具体开放日请参考官网。,2020-01-26 00:07:53.429459
133,54,133,4.5,40ImbiahRoad,9:00-17:00,2020-01-26 00:08:29.599576
134,41,134,4.3,"ShentonWay,Singapore",全天开放,2020-01-26 00:09:06.062651
135,46,135,4.4,51BImbiahRoad,8:00–18:00,2020-01-26 00:09:38.412942
136,42,136,4.5,Singapore,全天开放,2020-01-26 00:10:08.076565
137,54,137,4.4,"41DunlopStreet,Singapore,Singapore",周六-周四10:00-12:00，14:00-16:00；周五14:30-16:00,2020-01-26 00:10:40.603898
138,27,138,4.7,",TheSouthernRidgesSingapore099203",全天开放,2020-01-26 00:11:16.807849
139,31,139,4.4,新加坡樟宜机场T1三层公共区域ViewingMall,10:30-22:30,2020-01-26 00:11:33.759090
140,45,140,4.4,"70StamfordRoad,#B1-38a,Singapore178901",,2020-01-26 00:11:59.998399
141,44,141,4.3,"ChangiBeach,Singapore",全天开放,2020-01-26 00:12:31.769066
142,66,142,4.7,"18MarinaGardensDriveGardensBytheBay|GardensbytheBay,Singapore018953,Singapore",5:00-次日2:00,2020-01-26 00:13:00.368833
143,75,143,4.7,"277OrchardRoad,OrchardGateway,Singapore",11:00-21:00；圣诞节前夕17:00关闭，新年和农历新年、公众假期闭馆。,2020-01-26 00:13:36.045510
144,39,144,4.2,"336RaceCourseRd.,Singapore,Singapore",8:30-16:45,2020-01-26 00:14:11.694556
145,37,145,4.5,50 Beach View， #01-k5， Gogreen Hub,思维车探险旅程：10:00-19:30（周一-周日）（首轮探险旅程：上午10:30，最后出发时间：18:30） 思维车乐趣游：10:00-19:30（最后出发时间19:00）,2020-01-26 00:14:34.336314
146,56,146,4.1,10KhusuIsland,全天开放,2020-01-26 00:14:57.589889
147,50,147,4.1,9WoodlandsRoad,全天开放,2020-01-26 00:15:35.949356
148,47,148,4.1,"1000,UpperChangiRoadNorth,Singapore507707",9:30-17:00（16:30停止入场）,2020-01-26 00:16:17.116790
149,30,149,4.6,"1ChineseGarden,Singapore619795,Singapore",全天开放,2020-01-26 00:16:50.351977
150,43,150,4.7,"1RafflesBoulevard,Singapore039593,Singapore",7:00-23:00,2020-01-26 00:17:13.012913
151,97,151,4.7,Palawan Kidz City. 31 Beach View #01-01/02 Singapore 098008,10:00-18:00，最晚入园时间：16:30，园区内最后一场角色扮演的时间：17:30。以下日期景区闭园，请您改期前往：2020年1月15日，2月12/19/26日、4月29日、5月6/13日、8月19日、9月16日。以上时间仅供参考，实际开放时间以景区当天为准。,2020-01-26 00:17:43.722646
152,37,152,4.4,"178WaterlooSt.,Singapore187964,Singapore",周一-周日6:00-18:00,2020-01-26 00:18:18.827196
153,33,153,4.2,"471VictoriaStreet,Singapore198370",全天开放,2020-01-26 00:18:48.892548
154,91,154,4.8,"100VictoriaStreet,Singapore188064,Singapore",10:00-21:00，圣诞节前夕、新年和农历新年17:00关闭，公众假期休息。,2020-01-26 00:19:18.491204
155,24,155,4.4,"WoodlandsRd,Singapore738702",全天,2020-01-26 00:19:55.722735
156,17,156,4.4,"GogreenSegwayEcoAdventure,SilosoBeach,Sentosa",全天开放,2020-01-26 00:20:19.481113
157,37,157,4.3,新加坡樟宜机场T3地下二层（公共区域）,10:00-23:00,2020-01-26 00:20:36.692958
158,21,158,4.4,"MarinaBay,Singapore",2020年9月比赛日程为：9月18日-9月20日，更多日程详情请参考官网。,2020-01-26 00:21:05.013860
159,50,159,4.4,史丹福路乔治五世公园内,,2020-01-26 00:21:25.194395
160,60,160,4.4,"18RafflesQuayTelokAyerFestivalMarket,Singapore048582",全天开放,2020-01-26 00:21:56.910059
161,32,161,4.7,"18MarinaGardensDriveGardensBytheBay|GardensbytheBay,Singapore018953,Singapore",9:00-21:00（最后售票和入场时间为20:00）；将在以下日期关闭进行维护：2月17日、3月23日、4月20日、5月4日、6月1日、7月20日、8月24日、9月28日、10月19日、11月16日、12月21日；景点可能会因容量，恶劣天气，特殊事件或其他原因而更改营业时间，具体开放时间请见官网公示信息。,2020-01-26 00:22:41.067270
162,31,162,4.1,"AQueenStreet,Singapore188533",每天弥撒时间不同，具体请查看官网。,2020-01-26 00:23:07.046436
163,11,163,4.5,6RafflesBoulevard,10:00-22:00,2020-01-26 00:23:32.751250
164,35,164,4.5,"21McCallumSt,Singapore069047",全天开放,2020-01-26 00:23:41.830408
165,51,165,4.6,"ShentonWay,Singapore,Singapore",,2020-01-26 00:24:09.453869
166,20,166,3.3,新加坡,全天开放,2020-01-26 00:24:41.601113
167,51,167,4.5,"MouthofSingaporeRiver,Singapore,Singapore",,2020-01-26 00:25:10.825777
168,19,168,4.3,"BLK7ADempseyRoad,Singapore",13:00-次日1:00，23:00为最后招待时间,2020-01-26 00:25:42.696288
169,48,169,4.6,"62HillStreetCentralFireStation,Singapore179367,Singapore",,2020-01-26 00:25:57.435071
170,19,170,4.4,"Vigilantedrive,Singapore,Singapore",全天开放,2020-01-26 00:26:29.571119
171,28,171,4.6,MarinaBay,周一-周四、周日：20:00、21:00两场；周五、周六：20:00、21:00、22:00三场；每场表演约15分钟。,2020-01-26 00:26:48.119737
172,34,172,4.5,"88BrightHillRoad,Singapore574117,Singapore",8:00-16:00,2020-01-26 00:27:08.491997
173,33,173,4.4,Rainforest Lumina at Singapore Zoo， 80 Mandai Lake Road， Singapore 729826,19:30-24:00（最晚入园时间10:30）,2020-01-26 00:27:32.396304
174,26,174,4.4,"760BedokReservoirRd,新加坡479245",全天开放,2020-01-26 00:27:55.889933
175,24,175,4.7,"184EJalanToaPayoh,Singapore319941,Singapore",8:00-17:00,2020-01-26 00:28:15.890199
176,33,176,4.2,"4001BeachRoadHajjahFatimahMosque,Singapore199584,Singapore",9:00-21:00,2020-01-26 00:28:34.395526
177,16,177,4.3,"3CRiverValleyRoad,TheCannery,新加坡179022",周三22:00-次日3:00，周五22:00-次日5:00，周六和节假日前夕22:00-次日4:00。,2020-01-26 00:28:59.070439
178,41,178,4.7,21 Jurong Town Hall Road， Singapore 609433,"1）场次1：9:30-13:30（最后入园12:45）
						 2）场次2-：14:00-18:00（最后入场17:15）		",2020-01-26 00:29:11.356441
179,19,179,4.7,"新加坡环球影城失落的世界区，8SentosaGateway,SentosaIsland,Singapore",10:30-17:00,2020-01-26 00:29:44.365871
180,23,180,4.6,"1CleantechLoopCleantechOne,Singapore637141,Singapore",暂无,2020-01-26 00:30:14.085317
181,17,181,4.4,"2 Conservatory Drive | National University of Singapore, Singapore 117377, Singapore",周二至周日：每天10:00 AM - 7:00 PM (最后入馆时间为5:30 PM)，新加坡法定节假日正常开放； 周一闭馆 (新加坡法定节假日除外) 馆内定期设有免费导览团：周四至周日1:00 PM (节假日除外)，先到先得，直接前往柜台报名登记即,2020-01-26 00:30:33.209069
182,34,182,4.7,"1 Sentosa, Singapore 099081, Singapore",全年  10:00-18:00。,2020-01-26 00:30:47.868729
183,18,183,4.4,"50TanahMerahFerryRoad#01-21,Singapore498833,Singapore",,2020-01-26 00:31:11.492933
184,24,184,4.5,"SentosaIsland,Singapore",10:00-20:00,2020-01-26 00:31:26.583201
185,15,185,4.5,"21 Jurong Town Hall Road, Singapore 609433, Singapore",10:00-18:00（周一-周日），2小时门票最后入场时间为14:00；1小时门票最后入场时间为15:00。,2020-01-26 00:31:46.907933
186,21,186,4.8,gardenbythebay,每日19:45、20:45各一场；高峰时间为每天19:00-21:00。,2020-01-26 00:32:00.208416
187,5,187,5,Inside Starlight Changi Mall in Singapore Changi Airport,全年营业10:00-22:00,2020-01-26 00:32:21.376893
188,11,188,4.5,"2StadiumWalk,Singapore397691,Singapore",9:00-18:00,2020-01-26 00:32:30.220147
