,Unnamed: 0,POI,link,num_reviews
275,275,Bally（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413380.html,3
276,276,万宝龙（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413411.html,3
277,277,Liang Court,https://you.ctrip.com/shopping/singapore53/1454905.html,3
278,278,Canele,https://you.ctrip.com/shopping/singapore53/1364022.html,3
279,279,Junction 8,https://you.ctrip.com/shopping/singapore53/1578780.html,3
280,280,菲拉格慕（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413419.html,3
285,285,Gassan Watches（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413581.html,3
286,286,7-11(Gopeng Street),https://you.ctrip.com/shopping/singapore53/1364209.html,1
287,287,耐克,https://you.ctrip.com/shopping/singapore53/1811573.html,1
288,288,TANGS(怡丰城店),https://you.ctrip.com/shopping/singapore53/1582949.html,1
289,289,Cold Storage,https://you.ctrip.com/shopping/singapore53/1364046.html,1
290,290,卡地亚,https://you.ctrip.com/shopping/singapore53/1364093.html,1
291,291,珍珠大厦,https://you.ctrip.com/shopping/singapore53/70272497.html,1
292,292,Hush Puppies,https://you.ctrip.com/shopping/singapore53/1363968.html,2
293,293,Cuppage Terrace,https://you.ctrip.com/shopping/singapore53/2347594.html,1
294,294,兰蔻(VIVOCITY),https://you.ctrip.com/shopping/singapore53/2545983.html,1
295,295,AMK Hub,https://you.ctrip.com/shopping/singapore53/78596330.html,2
296,296,Michael Trio,https://you.ctrip.com/shopping/singapore53/1375458.html,1
297,297,兰蔻(NEX MALL),https://you.ctrip.com/shopping/singapore53/2545984.html,1
298,298,Jamal Kazura Aromatics,https://you.ctrip.com/shopping/singapore53/1375524.html,1
299,299,Jcube,https://you.ctrip.com/shopping/singapore53/2347588.html,1
304,304,Ang Mo Kio Hub,https://you.ctrip.com/shopping/singapore53/1578725.html,1
305,305,7-11（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413597.html,8
306,306,MichaelKors（名胜世界荟萃廊免税店）,https://you.ctrip.com/shopping/singapore53/1453983.html,5
307,307,美体小铺（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413493.html,10
308,308,Pedro（威士玛广场）,https://you.ctrip.com/shopping/singapore53/1452345.html,5
309,309,董厦,https://you.ctrip.com/shopping/singapore53/1549230.html,7
310,310,DFS烟酒免税店（樟宜机场T1抵达行李领取大厅）,https://you.ctrip.com/shopping/singapore53/1413591.html,9
311,311,Carrefour,https://you.ctrip.com/shopping/singapore53/108095.html,7
312,312,新加坡新罗免税店（T1离境大厅C登机门）,https://you.ctrip.com/shopping/singapore53/1450946.html,6
313,313,Tommy Hilfiger（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413423.html,4
314,314,探索新加坡（樟宜机场T1离境转机大厅东）,https://you.ctrip.com/shopping/singapore53/1413553.html,4
315,315,Paul & Shark（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413413.html,4
316,316,Bata（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413494.html,4
317,317,宝格丽（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413391.html,4
318,318,DFS钟表免税店（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413580.html,4
323,323,Alfred Dunhill（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413378.html,4
324,324,DFS烟酒免税店（樟宜机场T2抵达行李领取大厅）,https://you.ctrip.com/shopping/singapore53/1413593.html,4
325,325,优衣库（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413442.html,4
326,326,探索新加坡（樟宜机场T2离境转机大厅南）,https://you.ctrip.com/shopping/singapore53/1413556.html,4
327,327,Kidztime!（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413574.html,4
328,328,Zegna杰尼亚（百丽宫购物中心二店）,https://you.ctrip.com/shopping/singapore53/1361057.html,4
329,329,Gucci（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413396.html,5
330,330,Gucci（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413397.html,5
331,331,M&M's World（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413603.html,5
332,332,樟宜动物园商店,https://you.ctrip.com/shopping/singapore53/1413562.html,5
333,333,Pandora（樟宜机场T2离境登机大厅）,https://you.ctrip.com/shopping/singapore53/1413451.html,5
334,334,维多利亚的秘密（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413443.html,5
335,335,蒂芙尼（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413456.html,5
336,336,爱丽小屋（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413468.html,5
337,337,So Chocolate（樟宜机场二号候机大厅过境F区）,https://you.ctrip.com/shopping/singapore53/1446526.html,7
342,342,MichaelKors（怡丰城）,https://you.ctrip.com/shopping/singapore53/1453979.html,3
343,343,Victoria's Secret（One Raffles Place）,https://you.ctrip.com/shopping/singapore53/1454264.html,3
344,344,RIMOWA（新达城店）,https://you.ctrip.com/shopping/singapore53/1452309.html,3
345,345,芽笼士乃市场,https://you.ctrip.com/shopping/singapore53/1454911.html,8
346,346,Nature's Farm(The Arcade商场),https://you.ctrip.com/shopping/singapore53/4235771.html,1
347,347,屈臣氏（樟宜机场T3离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413488.html,6
